SINONIMIA,MEDICAMENTO
ALUMINA SULPH                                     ,ALUMINIUM SULPHURICUM
ALUMINA SUPHURICA                                 ,ALUMINIUM SULPHURICUM
ALUMINII ET POTASSII SULPHAS                      ,ALUMEN
ALUMINII OXYDUM                                   ,ALUMINA
ALUMINIO                                          ,ALUMINIUM METALLICUM
ALUMINIO HIDROXIDO (H)                            ,HIDROXIDO DE ALUMINIO
ALUMINIUM BROMIDE                                 ,ALUMINIUM BROMATUM
ALUMINIUM CHLORATUM                               ,ALUMINA MURIATICA
ALUMINIUM MET                                     ,ALUMINIUM METALLICUM
ALUMINIUM MUR                                     ,ALUMINA MURIATICA
ALUMINIUM MURIATICUM                              ,ALUMINA MURIATICA
ALUMINIUM OXYDATUM                                ,ALUMINA
ALUMINIUM PHOSPH                                  ,ALUMINA PHOSPHORICA
ALUMINIUM PHOSPHORICUM                            ,ALUMINA PHOSPHORICA
ALUMINIUM SILICATUM                               ,ALUMINA SILICATA
ALUMINIUM SULPH                                   ,ALUMINIUM SULPHURICUM
AMANITA BULBOSA                                   ,AMANITA PHALLOIDES
AMANITA CITTINUS                                  ,AGARICUS MUSCARIUS
AMANITA MUSCARIUS                                 ,AGARICUS MUSCARIUS
AMANITA VERNUS                                    ,AMANITA PHALLOIDES
AMARA                                             ,IGNATIA AMARA
AMARA DULCIS                                      ,DULCAMARA
AMARANTHUS                                        ,AMARANTO
AMARANTO FLOCOS                                   ,AMARANTO
AMBARUM                                           ,AMBRA GRISEA
AMBARUM CINERITEUM                                ,AMBRA GRISEA
AMBRA                                             ,AMBRA GRISEA
AMBRA AMBROSIACA                                  ,AMBRA GRISEA
AMBRA CINEREA                                     ,AMBRA GRISEA
AMBRA CINZENTO                                    ,AMBRA GRISEA
AMBRA MARITIMA                                    ,AMBRA GRISEA
AMBRA NIGRA                                       ,AMBRA GRISEA
AMBRA VERA                                        ,AMBRA GRISEA
AMBRINA AMBROSIOIDES                              ,CHENOPODIUM ANTHELMINTICUM
AMBROSIA                                          ,AMBROSIA ARTEMISIAEFOLIA
AMBROSIA ABSINTHIFOLIA                            ,AMBROSIA ARTEMISIAEFOLIA
AMBROSIA ART                                      ,AMBROSIA ARTEMISIAEFOLIA
AMBROSIA ELATIOR                                  ,AMBROSIA ARTEMISIAEFOLIA
AMBROSIA HETEROPHYLLA                             ,AMBROSIA ARTEMISIAEFOLIA
AMBROSIA PANICULATA                               ,AMBROSIA ARTEMISIAEFOLIA
AMBROSIACA                                        ,AMBRA GRISEA
